date,opposition_code,opposition_full,md_plus_code,md_minus_code,season,total_distance,hsr_distance,high_hsr_distance,sprint_distance,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,top_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms,combined_hsr_sprint,hr_zone_1_sec,hr_zone_2_sec,hr_zone_3_sec,hr_zone_4_sec,hr_zone_5_sec,high_hr_seconds,md_label,recovery_score,is_recovery_data_collected,recovery_score_filled,recovery_label,ewma_total_distance,ewma_total_distance_28d_avg,ewma_total_distance_delta_pct,ewma_hsr_distance,ewma_hsr_distance_28d_avg,ewma_hsr_distance_delta_pct,ewma_acc_dec_over_2_5,ewma_acc_dec_over_2_5_28d_avg,ewma_acc_dec_over_2_5_delta_pct,ewma_high_hr_seconds,ewma_high_hr_seconds_28d_avg,ewma_high_hr_seconds_delta_pct,top_speed_max,readiness_flag,load_spike_flag,load_spike_penalty,readiness_penalty,recovery_penalty,injury_risk_score,injury_risk_flag,recovery_score_next_day,recovery_score_flag,recovery_class_predicted,total_distance_next_day,total_distance_+2_days,predicted_total_distance_next_day,predicted_total_distance_+2_days,week_commencing,season_start,season_week,games_this_week,week_label,ewma_total_distance_28d_ago,ewma_acc_dec_over_2_5_28d_ago,ewma_hsr_distance_28d_ago
2022-08-02,,,10,-4,2022/2023,4524.085076,89.27853044,85.69031816,61.6343353,119.1081009,32.63692816,8.557442749,76.24236931,30.7559,00:03:40,00:17:29,00:19:20,00:11:23,00:00:02,150.91286574,220.0,1049.0,1160.0,683.0,2.0,685.0,-4,,False,0.0,No Data,4524.085076,,,89.27853044,,,119.1081009,,,685.0,,,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,5264.645855,6886.542272,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-03,,,10,-3,2022/2023,5264.645855,245.861691,91.34814267,20.21058834,45.97401948,6.309729836,3.095989752,65.21783048,28.67495,00:06:44,00:16:40,00:15:35,00:06:08,00:00:01,266.07227934,404.0,1000.0,935.0,368.0,1.0,369.0,-3,,False,0.0,No Data,4709.22527075,,,128.42432058,,,100.82458054499999,,,606.0,,,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,6886.542272,2622.552016,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-04,,,10,-2,2022/2023,6886.542272,199.1802595,84.63473481,22.58547047,97.48851155,24.40018007,3.82586928,105.139759,29.2172,00:17:29,00:37:09,00:23:49,00:06:30,00:00:02,221.76572997,1049.0,2229.0,1429.0,390.0,2.0,392.0,-2,,False,0.0,No Data,5253.5545210625,,,146.11330531000002,,,99.99056329624999,,,552.5,,,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,2622.552016,5654.028319,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-05,,,10,-1,2022/2023,2622.552016,68.3893209,11.795402,6.360193345,43.75026526,14.64292521,2.189601741,64.58843385,28.703,00:07:34,00:15:51,00:07:31,00:01:51,00:00:00,74.749514245,454.0,951.0,451.0,111.0,0.0,111.0,-1,,False,0.0,No Data,4595.803894796875,,,126.68230920750003,,,85.93048878718749,,,442.125,,,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,5654.028319,7379.419445,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-06,EVE,Everton,0,0,2022/2023,5654.028319,447.0905452,164.5766708,82.74642973,122.5681273,49.74844568,22.20173654,46.04835304,30.29811976,00:01:09,00:01:04,00:11:34,00:13:15,00:02:30,529.83697493,69.0,64.0,694.0,795.0,150.0,945.0,0,,False,0.0,No Data,4860.360000847657,,,206.78436820562501,,,95.08989841539062,,,567.84375,,,,Ready,0,0.0,0.0,0.0,0.0,Low,,Unknown,,7379.419445,0.0,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-07,,,1,-7,2022/2023,7379.419445,230.4563784,76.86554786,36.82659852,127.8810687,41.20852149,13.27639123,116.656904,30.8216,00:15:52,00:32:25,00:16:39,00:05:43,00:00:04,267.28297692,952.0,1945.0,999.0,343.0,4.0,347.0,1,,False,0.0,No Data,5490.124861885743,,,212.70237075421875,,,103.28769098654297,,,512.6328125,,,,Ready,0,0.0,0.0,0.0,0.0,Low,,Unknown,,0.0,0.0,,,2022-08-01,2022-08-01,1,1,Wk 1 (1 Games),,,
2022-08-08,,,2,-6,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,,False,0.0,No Data,4117.593646414307,4792.963895965297,-14.09086870275644,159.52677806566408,152.7874260804297,4.4109336469132465,77.46576823990722,97.38529873861118,-20.454350663511693,384.474609375,535.7965959821429,-28.242431501409943,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,0.0,6388.152035,,,2022-08-08,2022-08-01,2,1,Wk 2 (1 Games),,,
2022-08-09,,,3,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5,,False,0.0,No Data,3088.19523481073,4579.867813320977,-32.570210305449784,119.64508354924806,148.644633264032,-19.509314987022172,58.099326179930415,92.47455216877609,-37.1726331003011,288.35595703125,504.86651611328125,-42.88471351771147,,Monitor,0,0.0,0.5,0.0,0.15,Moderate,,Unknown,,6388.152035,3727.993084,,,2022-08-08,2022-08-01,2,1,Wk 2 (1 Games),,,
2022-08-10,,,4,-4,2022/2023,6388.152035,461.7284954,209.4731691,76.4638338,120.4362528,49.55272992,16.95432555,94.99376919,31.51548,00:09:10,00:22:24,00:23:57,00:10:30,00:00:10,538.1923292,550.0,1344.0,1437.0,630.0,10.0,640.0,-4,,False,0.0,No Data,3913.184434858048,4505.79188238065,-13.152126485023011,205.16593651193602,154.92477806935466,32.42938868054409,73.6835578349478,90.38666390946183,-18.479613420897056,376.2669677734375,490.5776774088542,-23.301245633349225,,Reduced,1,1.0,1.0,0.0,0.7,Moderate,,Unknown,,3727.993084,4205.273933,,,2022-08-08,2022-08-01,2,1,Wk 2 (1 Games),,,
2022-08-11,,,5,-3,2022/2023,3727.993084,181.5062074,66.49044126,20.46043373,103.3060547,50.74886844,15.71521045,60.25599587,28.85883,00:05:06,00:14:19,00:13:49,00:10:07,00:00:09,201.96664113,306.0,859.0,829.0,607.0,9.0,616.0,-3,,False,0.0,No Data,3866.8865971435357,4441.90135385694,-12.94523923216156,199.25100423395202,159.3574006858144,25.034045093889905,81.08918205121086,89.45691572363674,-9.35392597066134,436.2002258300781,485.1399322509766,-10.087750598847958,,Reduced,1,1.0,1.0,0.0,0.7,Moderate,,Unknown,,4205.273933,2821.360564,,,2022-08-08,2022-08-01,2,1,Wk 2 (1 Games),,,
